index,peril,threshold,value_stage,env_x,value_prod,env_y,abs_diff,pct_diff
0,Lightning,Extreme,1.0000000000287557e-06,stage,0.0,prod,1.0000000000287557e-06,100.0
0,Lightning,Low,0.029522000000000048,stage,0.0,prod,0.029522000000000048,100.0
0,Lightning,Moderate,0.012766000000000055,stage,0.0,prod,0.012766000000000055,100.0
0,Lightning,Severe,0.01178800000000002,stage,0.0,prod,0.01178800000000002,100.0
0,Max Wind Speed,0,0.999999,stage,,,,
0,Max Wind Speed,10,0.283609,stage,,,,
0,Max Wind Speed,15,0.017278000000000016,stage,,,,
0,Max Wind Speed,20,0.0007900000000000684,stage,,,,
0,Max Wind Speed,25,1.0000000000287557e-06,stage,,,,
0,Max Wind Speed,5,0.99876,stage,,,,
0,MaxWindSpeed,0.0,,,100.0,prod,,
0,MaxWindSpeed,10.0,,,3.6608,prod,,
0,MaxWindSpeed,15.0,,,0.0003,prod,,
0,MaxWindSpeed,15.110844793433325,,,0.0001,prod,,
0,MaxWindSpeed,5.0,,,92.4712,prod,,
0,Rain,0,0.5414140000000001,stage,,,,
0,Rain,0.0,,,60.3769,prod,,
0,Rain,1,0.009272000000000058,stage,,,,
0,Rain,1.0,,,1.9236,prod,,
0,Rain,2,0.0025049999999999795,stage,,,,
0,Rain,2.0,,,0.3384,prod,,
0,Rain,3,0.0011970000000000036,stage,,,,
0,Rain,4,0.0011660000000000004,stage,,,,
1,Lightning,Extreme,1.0000000000287557e-06,stage,0.0,prod,1.0000000000287557e-06,100.0
1,Lightning,Low,1.0000000000287557e-06,stage,0.0,prod,1.0000000000287557e-06,100.0
1,Lightning,Moderate,1.0000000000287557e-06,stage,0.0,prod,1.0000000000287557e-06,100.0
1,Lightning,Severe,1.0000000000287557e-06,stage,0.0,prod,1.0000000000287557e-06,100.0
1,Max Wind Speed,0,0.999927,stage,,,,
1,Max Wind Speed,10,0.457622,stage,,,,
1,Max Wind Speed,15,0.15245600000000004,stage,,,,
1,Max Wind Speed,20,0.012580000000000036,stage,,,,
1,Max Wind Speed,25,0.0006300000000000194,stage,,,,
1,Max Wind Speed,5,0.8915420000000001,stage,,,,
1,MaxWindSpeed,0.0,,,99.9975,prod,,
1,MaxWindSpeed,10.0,,,34.274,prod,,
1,MaxWindSpeed,15.0,,,5.5943,prod,,
1,MaxWindSpeed,20.0,,,0.2668,prod,,
1,MaxWindSpeed,25.0,,,0.0039,prod,,
1,MaxWindSpeed,26.679050697933775,,,0.0001,prod,,
1,MaxWindSpeed,5.0,,,82.5273,prod,,
1,Rain,0,0.705711,stage,,,,
1,Rain,0.0,,,80.8237,prod,,
1,Rain,1,0.36511899999999997,stage,,,,
1,Rain,1.0,,,55.2499,prod,,
1,Rain,10,0.03398500000000004,stage,,,,
1,Rain,10.0,,,2.9143,prod,,
1,Rain,15,0.007835000000000036,stage,,,,
1,Rain,15.0,,,0.6488,prod,,
1,Rain,2,0.277022,stage,,,,
1,Rain,2.0,,,37.7382,prod,,
1,Rain,20,0.0015490000000000226,stage,,,,
1,Rain,20.0,,,0.2604,prod,,
1,Rain,25,5.6000000000056005e-05,stage,,,,
1,Rain,25.0,,,0.1111,prod,,
1,Rain,3,0.21858699999999998,stage,,,,
1,Rain,3.0,,,27.2126,prod,,
1,Rain,30.0,,,0.044,prod,,
1,Rain,35.0,,,0.0177,prod,,
1,Rain,4,0.17220199999999997,stage,,,,
1,Rain,4.0,,,20.477,prod,,
1,Rain,40.0,,,0.0092,prod,,
1,Rain,45.0,,,0.0092,prod,,
1,Rain,5,0.13215699999999997,stage,,,,
1,Rain,5.0,,,15.7632,prod,,
1,Rain,50.0,,,0.0092,prod,,
1,Rain,55.0,,,0.0092,prod,,
1,Rain,6,0.10385600000000006,stage,,,,
1,Rain,6.0,,,12.0769,prod,,
1,Rain,60.0,,,0.0044,prod,,
1,Rain,65.0,,,0.0042,prod,,
1,Rain,7,0.07963900000000002,stage,,,,
1,Rain,7.0,,,9.0605,prod,,
1,Rain,70.0,,,0.0042,prod,,
1,Rain,75.0,,,0.0042,prod,,
1,Rain,8,0.057594000000000034,stage,,,,
1,Rain,8.0,,,6.5033,prod,,
1,Rain,80.0,,,0.0042,prod,,
1,Rain,85.0,,,0.0042,prod,,
1,Rain,9,0.04482300000000006,stage,,,,
1,Rain,9.0,,,4.4323,prod,,
1,Rain,90.0,,,0.0042,prod,,
1,Rain,94.29374169489557,,,0.0001,prod,,
