index,peril,threshold,value,env
1,Rain,0.0,80.8237,prod
1,Rain,1.0,55.2499,prod
1,Rain,2.0,37.7382,prod
1,Rain,3.0,27.2126,prod
1,Rain,4.0,20.477,prod
1,Rain,5.0,15.7632,prod
1,Rain,6.0,12.0769,prod
1,Rain,7.0,9.0605,prod
1,Rain,8.0,6.5033,prod
1,Rain,9.0,4.4323,prod
1,Rain,10.0,2.9143,prod
1,Rain,15.0,0.6488,prod
1,Rain,20.0,0.2604,prod
1,Rain,25.0,0.1111,prod
1,Rain,30.0,0.044,prod
1,Rain,35.0,0.0177,prod
1,Rain,40.0,0.0092,prod
1,Rain,45.0,0.0092,prod
1,Rain,50.0,0.0092,prod
1,Rain,55.0,0.0092,prod
1,Rain,60.0,0.0044,prod
1,Rain,65.0,0.0042,prod
1,Rain,70.0,0.0042,prod
1,Rain,75.0,0.0042,prod
1,Rain,80.0,0.0042,prod
1,Rain,85.0,0.0042,prod
1,Rain,90.0,0.0042,prod
1,Rain,94.29374169489557,0.0001,prod
1,MaxWindSpeed,0.0,99.9975,prod
1,MaxWindSpeed,5.0,82.5273,prod
1,MaxWindSpeed,10.0,34.274,prod
1,MaxWindSpeed,15.0,5.5943,prod
1,MaxWindSpeed,20.0,0.2668,prod
1,MaxWindSpeed,25.0,0.0039,prod
1,MaxWindSpeed,26.679050697933775,0.0001,prod
1,Lightning,Low,0.0,prod
1,Lightning,Moderate,0.0,prod
1,Lightning,Severe,0.0,prod
1,Lightning,Extreme,0.0,prod
0,Rain,0.0,60.3769,prod
0,Rain,1.0,1.9236,prod
0,Rain,2.0,0.3384,prod
0,MaxWindSpeed,0.0,100.0,prod
0,MaxWindSpeed,5.0,92.4712,prod
0,MaxWindSpeed,10.0,3.6608,prod
0,MaxWindSpeed,15.0,0.0003,prod
0,MaxWindSpeed,15.110844793433325,0.0001,prod
0,Lightning,Low,0.0,prod
0,Lightning,Moderate,0.0,prod
0,Lightning,Severe,0.0,prod
0,Lightning,Extreme,0.0,prod
