index,peril,threshold,value,env
1,Rain,0,0.705711,stage
1,Rain,1,0.36511899999999997,stage
1,Rain,2,0.277022,stage
1,Rain,3,0.21858699999999998,stage
1,Rain,4,0.17220199999999997,stage
1,Rain,5,0.13215699999999997,stage
1,Rain,6,0.10385600000000006,stage
1,Rain,7,0.07963900000000002,stage
1,Rain,8,0.057594000000000034,stage
1,Rain,9,0.04482300000000006,stage
1,Rain,10,0.03398500000000004,stage
1,Rain,15,0.007835000000000036,stage
1,Rain,20,0.0015490000000000226,stage
1,Rain,25,5.6000000000056005e-05,stage
1,Max Wind Speed,0,0.999927,stage
1,Max Wind Speed,5,0.8915420000000001,stage
1,Max Wind Speed,10,0.457622,stage
1,Max Wind Speed,15,0.15245600000000004,stage
1,Max Wind Speed,20,0.012580000000000036,stage
1,Max Wind Speed,25,0.0006300000000000194,stage
1,Max Wind Gust,0,0.999999,stage
1,Max Wind Gust,5,0.993976,stage
1,Max Wind Gust,10,0.94322,stage
1,Max Wind Gust,15,0.826365,stage
1,Max Wind Gust,20,0.671967,stage
1,Max Wind Gust,25,0.497289,stage
1,Max Wind Gust,30,0.344777,stage
1,Max Wind Gust,35,0.23626199999999997,stage
1,Max Wind Gust,40,0.145509,stage
1,Max Wind Gust,45,0.08094299999999999,stage
1,Max Wind Gust,50,0.03667600000000004,stage
1,Max Wind Gust,55,0.018928000000000056,stage
1,Max Wind Gust,60,0.01072200000000001,stage
1,Max Wind Gust,65,0.006426000000000043,stage
1,Max Wind Gust,70,0.004043000000000019,stage
1,Max Wind Gust,75,0.0028289999999999704,stage
1,Max Wind Gust,80,0.0020529999999999715,stage
1,Max Wind Gust,85,0.0013130000000000086,stage
1,Max Wind Gust,90,0.0009860000000000424,stage
1,Max Wind Gust,95,0.0005819999999999714,stage
1,Max Wind Gust,100,0.00035600000000002296,stage
1,Max Wind Gust,105,0.0003009999999999957,stage
1,Max Wind Gust,110,0.00020700000000006824,stage
1,Max Wind Gust,115,2.0000000000020002e-05,stage
1,Lightning,Low,1.0000000000287557e-06,stage
1,Lightning,Moderate,1.0000000000287557e-06,stage
1,Lightning,Severe,1.0000000000287557e-06,stage
1,Lightning,Extreme,1.0000000000287557e-06,stage
4,Rain,0,0.650857,stage
4,Rain,1,0.27625,stage
4,Rain,2,0.21237300000000003,stage
4,Rain,3,0.16647900000000004,stage
4,Rain,4,0.136339,stage
4,Rain,5,0.11236500000000005,stage
4,Rain,6,0.09060000000000001,stage
4,Rain,7,0.075743,stage
4,Rain,8,0.06650699999999998,stage
4,Rain,9,0.05809200000000003,stage
4,Rain,10,0.048673999999999995,stage
4,Rain,15,0.012597999999999998,stage
4,Rain,20,0.00309500000000007,stage
4,Rain,25,0.0011419999999999764,stage
4,Rain,30,0.00048400000000003995,stage
4,Rain,35,0.000248000000000026,stage
4,Rain,40,3.6000000000036e-05,stage
4,Max Wind Speed,0,0.999938,stage
4,Max Wind Speed,5,0.965989,stage
4,Max Wind Speed,10,0.437998,stage
4,Max Wind Speed,15,0.048826000000000036,stage
4,Max Wind Speed,20,0.0015730000000000466,stage
4,Max Wind Speed,25,1.0000000000287557e-06,stage
4,Max Wind Gust,0,0.999938,stage
4,Max Wind Gust,5,0.998788,stage
4,Max Wind Gust,10,0.954155,stage
4,Max Wind Gust,15,0.8298989999999999,stage
4,Max Wind Gust,20,0.6179910000000001,stage
4,Max Wind Gust,25,0.385433,stage
4,Max Wind Gust,30,0.18584299999999998,stage
4,Max Wind Gust,35,0.07104699999999997,stage
4,Max Wind Gust,40,0.027318000000000064,stage
4,Max Wind Gust,45,0.013326999999999978,stage
4,Max Wind Gust,50,0.0061350000000000016,stage
4,Max Wind Gust,55,0.002619000000000038,stage
4,Max Wind Gust,60,0.0012440000000000229,stage
4,Max Wind Gust,65,0.00045800000000006946,stage
4,Max Wind Gust,70,0.00014900000000006575,stage
4,Max Wind Gust,75,5.299999999996974e-05,stage
4,Lightning,Low,0.01155700000000004,stage
4,Lightning,Moderate,1.0000000000287557e-06,stage
4,Lightning,Severe,1.0000000000287557e-06,stage
4,Lightning,Extreme,1.0000000000287557e-06,stage
0,Rain,0,0.5414140000000001,stage
0,Rain,1,0.009272000000000058,stage
0,Rain,2,0.0025049999999999795,stage
0,Rain,3,0.0011970000000000036,stage
0,Rain,4,0.0011660000000000004,stage
0,Max Wind Speed,0,0.999999,stage
0,Max Wind Speed,5,0.99876,stage
0,Max Wind Speed,10,0.283609,stage
0,Max Wind Speed,15,0.017278000000000016,stage
0,Max Wind Speed,20,0.0007900000000000684,stage
0,Max Wind Speed,25,1.0000000000287557e-06,stage
0,Max Wind Gust,0,0.999999,stage
0,Max Wind Gust,5,0.999999,stage
0,Max Wind Gust,10,0.999999,stage
0,Max Wind Gust,15,0.983489,stage
0,Max Wind Gust,20,0.5271840000000001,stage
0,Max Wind Gust,25,0.09221599999999996,stage
0,Max Wind Gust,30,0.017064999999999997,stage
0,Max Wind Gust,35,0.004058000000000006,stage
0,Max Wind Gust,40,0.0007669999999999622,stage
0,Max Wind Gust,45,2.4000000000024002e-05,stage
0,Lightning,Low,0.029522000000000048,stage
0,Lightning,Moderate,0.012766000000000055,stage
0,Lightning,Severe,0.01178800000000002,stage
0,Lightning,Extreme,1.0000000000287557e-06,stage
3,Rain,0,0.6413760000000001,stage
3,Rain,1,0.19530000000000003,stage
3,Rain,2,0.12497000000000003,stage
3,Rain,3,0.07308999999999999,stage
3,Rain,4,0.038144999999999984,stage
3,Rain,5,0.018167999999999962,stage
3,Rain,6,0.010936999999999975,stage
3,Rain,7,0.006172000000000066,stage
3,Rain,8,0.0030200000000000227,stage
3,Rain,9,0.0010750000000000481,stage
3,Rain,10,0.00032799999999999496,stage
3,Max Wind Speed,0,0.999999,stage
3,Max Wind Speed,5,0.936287,stage
3,Max Wind Speed,10,0.5104040000000001,stage
3,Max Wind Speed,15,0.14095599999999997,stage
3,Max Wind Speed,20,0.02561100000000005,stage
3,Max Wind Speed,25,0.00257099999999999,stage
3,Max Wind Speed,30,1.0000000000287557e-06,stage
3,Max Wind Gust,0,0.999999,stage
3,Max Wind Gust,5,0.992983,stage
3,Max Wind Gust,10,0.8905730000000001,stage
3,Max Wind Gust,15,0.696078,stage
3,Max Wind Gust,20,0.460626,stage
3,Max Wind Gust,25,0.23806800000000006,stage
3,Max Wind Gust,30,0.10702699999999998,stage
3,Max Wind Gust,35,0.044352999999999976,stage
3,Max Wind Gust,40,0.014353999999999978,stage
3,Max Wind Gust,45,0.004445000000000032,stage
3,Max Wind Gust,50,0.0009719999999999729,stage
3,Max Wind Gust,55,0.00013099999999999223,stage
3,Lightning,Low,1.0000000000287557e-06,stage
3,Lightning,Moderate,1.0000000000287557e-06,stage
3,Lightning,Severe,1.0000000000287557e-06,stage
3,Lightning,Extreme,1.0000000000287557e-06,stage
2,Rain,0,0.546236,stage
2,Rain,1,0.01905800000000002,stage
2,Rain,2,0.009572000000000025,stage
2,Rain,3,0.004828999999999972,stage
2,Rain,4,0.0023050000000000015,stage
